codigo_procedimento,status,justificativa,valor,especialidade
PROC018,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,33795.47,Gastroenterologia
PROC018,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,17915.11,Pneumologia
PROC012,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",2617.57,Oftalmologia
PROC008,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,21089.28,Neurologia
PROC001,Negado,Não preenchimento dos critérios estabelecidos nas Diretrizes de Utilização (DUT).,4506.48,Neurologia
PROC002,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,10612.53,Ortopedia e Traumatologia
PROC016,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,9413.31,Pneumologia
PROC016,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,23473.62,Urologia
PROC012,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,23959.72,Urologia
PROC004,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",28260.03,Cardiologia
PROC004,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,5938.16,Reumatologia
PROC006,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,16177.82,Infectologia
PROC018,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,33952.07,Oncologia
PROC008,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,8424.66,Gastroenterologia
PROC013,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,34503.44,Cardiologia
PROC009,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,6432.13,Oftalmologia
PROC010,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,13375.4,Pneumologia
PROC002,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,18196.34,Ortopedia e Traumatologia
PROC017,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,29975.38,Gastroenterologia
PROC003,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,14847.61,Anestesiologia
PROC019,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,22135.1,Reumatologia
PROC014,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",32793.07,Pediatria
PROC007,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,5623.69,Ortopedia e Traumatologia
PROC010,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,1514.86,Oftalmologia
PROC020,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",9908.6,Pediatria
PROC017,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",30973.21,Infectologia
PROC008,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,29380.58,Cirurgia Geral
PROC010,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",636.9,Anestesiologia
PROC018,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",16931.28,Nefrologia
PROC005,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,26293.68,Infectologia
PROC005,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,25455.29,Infectologia
PROC007,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,31800.37,Infectologia
PROC002,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,2690.13,Neurologia
PROC011,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,6661.47,Endocrinologia
PROC015,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",669.22,Cirurgia Cardiovascular
PROC003,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",20888.82,Endocrinologia
PROC005,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,13525.22,Urologia
PROC002,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,23742.35,Cirurgia Geral
PROC012,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,17542.15,Cirurgia Cardiovascular
PROC005,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,15924.78,Reumatologia
PROC001,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,14191.76,Gastroenterologia
PROC014,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,14129.91,Reumatologia
PROC002,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,13018.45,Otorrinolaringologia
PROC008,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,14668.15,Reumatologia
PROC009,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",6645.06,Neurologia
PROC017,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",32946.22,Ginecologia e Obstetrícia
PROC004,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,2493.09,Infectologia
PROC020,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",15950.11,Urologia
PROC017,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,9809.62,Oncologia
PROC014,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,13510.69,Clínica Médica
PROC003,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,25527.69,Ortopedia e Traumatologia
PROC010,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,12224.98,Neurocirurgia
PROC010,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,23674.61,Cirurgia Cardiovascular
PROC013,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,14925.34,Gastroenterologia
PROC001,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,27758.65,Nefrologia
PROC020,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,24036.2,Ortopedia e Traumatologia
PROC017,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,12029.89,Otorrinolaringologia
PROC010,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",4356.49,Neurocirurgia
PROC008,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,6180.56,Nefrologia
PROC002,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,15370.41,Reumatologia
PROC003,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,25480.09,Oftalmologia
PROC013,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,23374.76,Otorrinolaringologia
PROC001,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,3578.02,Oncologia
PROC017,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,32210.49,Oftalmologia
PROC004,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,23764.13,Oftalmologia
PROC018,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,21907.65,Anestesiologia
PROC017,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",8303.49,Urologia
PROC006,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,29587.37,Otorrinolaringologia
PROC009,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,10481.39,Neurocirurgia
PROC003,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",12006.18,Nefrologia
PROC018,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,14146.59,Neurologia
PROC005,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,12383.79,Pneumologia
PROC015,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,14364.32,Urologia
PROC019,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,7156.67,Clínica Médica
PROC001,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,30046.54,Cirurgia Geral
PROC014,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",14497.69,Cirurgia Cardiovascular
PROC008,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,17614.7,Otorrinolaringologia
PROC013,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,25677.33,Ortopedia e Traumatologia
PROC015,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",971.91,Endocrinologia
PROC013,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,4037.42,Pediatria
PROC014,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,1379.98,Endocrinologia
PROC013,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",12607.52,Ortopedia e Traumatologia
PROC013,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,4914.75,Infectologia
PROC003,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,34996.88,Otorrinolaringologia
PROC012,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,26693.08,Reumatologia
PROC008,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,3166.69,Pneumologia
PROC005,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,16918.15,Otorrinolaringologia
PROC009,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,27489.37,Cirurgia Geral
PROC006,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,32596.39,Nefrologia
PROC019,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,3768.68,Ginecologia e Obstetrícia
PROC008,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,29939.91,Oncologia
PROC020,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,14196.12,Oncologia
PROC012,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",3530.74,Cirurgia Cardiovascular
PROC011,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",2346.93,Clínica Médica
PROC012,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,3582.4,Oftalmologia
PROC017,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,16912.73,Infectologia
PROC019,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,29278.71,Infectologia
PROC003,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,13633.33,Infectologia
PROC019,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",2170.06,Anestesiologia
PROC011,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",28166.73,Gastroenterologia
PROC011,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",10226.34,Infectologia
PROC017,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,17713.93,Pneumologia
PROC008,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,16348.3,Otorrinolaringologia
PROC001,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,24582.41,Neurologia
PROC010,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",15582.03,Pediatria
PROC018,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,10356.98,Ortopedia e Traumatologia
PROC009,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,11865.52,Reumatologia
PROC018,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,10545.69,Gastroenterologia
PROC019,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,29342.84,Neurocirurgia
PROC010,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,1678.21,Reumatologia
PROC018,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,19903.53,Endocrinologia
PROC005,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,20603.37,Otorrinolaringologia
PROC016,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,33833.82,Otorrinolaringologia
PROC009,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,14743.91,Otorrinolaringologia
PROC003,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,6328.37,Pediatria
PROC019,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,5203.66,Nefrologia
PROC014,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,27418.44,Anestesiologia
PROC013,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",15552.92,Oftalmologia
PROC014,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,21805.52,Nefrologia
PROC004,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,23522.47,Pneumologia
PROC006,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,6490.8,Reumatologia
PROC014,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,11044.56,Oftalmologia
PROC008,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",1745.65,Nefrologia
PROC008,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,12070.7,Infectologia
PROC007,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,23090.05,Urologia
PROC009,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,27990.85,Endocrinologia
PROC020,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",2676.19,Pediatria
PROC010,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",9949.68,Ginecologia e Obstetrícia
PROC015,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,26027.25,Neurologia
PROC020,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,33712.6,Infectologia
PROC019,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",10584.32,Pediatria
PROC006,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,32163.26,Otorrinolaringologia
PROC006,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,33954.07,Pediatria
PROC016,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",23850.51,Cirurgia Geral
PROC006,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,10941.76,Ortopedia e Traumatologia
PROC013,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,11830.68,Cirurgia Cardiovascular
PROC011,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,15635.94,Oncologia
PROC001,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,7540.29,Cirurgia Cardiovascular
PROC012,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",13799.83,Anestesiologia
PROC007,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,16008.32,Infectologia
PROC016,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,25190.66,Oncologia
PROC010,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,4350.47,Cirurgia Cardiovascular
PROC004,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,9221.57,Oftalmologia
PROC010,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,15107.67,Neurocirurgia
PROC016,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,14165.21,Reumatologia
PROC020,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,15620.47,Neurocirurgia
PROC009,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,28934.57,Urologia
PROC010,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,17980.79,Nefrologia
PROC016,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,12865.19,Endocrinologia
PROC018,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",30592.54,Cirurgia Cardiovascular
PROC008,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,2675.28,Pediatria
PROC016,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,17942.11,Ginecologia e Obstetrícia
PROC002,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",30595.87,Endocrinologia
PROC015,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,1718.75,Oncologia
PROC005,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,1809.49,Urologia
PROC009,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,23164.48,Ortopedia e Traumatologia
PROC011,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",22385.81,Cirurgia Cardiovascular
PROC016,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,9135.23,Cirurgia Cardiovascular
PROC010,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,17620.91,Reumatologia
PROC004,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,31735.73,Oftalmologia
PROC002,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",6773.11,Ortopedia e Traumatologia
PROC014,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,20328.37,Endocrinologia
PROC006,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,22146.21,Gastroenterologia
PROC008,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,4563.3,Otorrinolaringologia
PROC009,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,31583.11,Oftalmologia
PROC015,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,3696.53,Nefrologia
PROC012,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,24532.6,Pediatria
PROC015,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,30042.74,Nefrologia
PROC004,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",20628.64,Reumatologia
PROC010,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,5303.41,Clínica Médica
PROC019,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",15074.68,Cardiologia
PROC010,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",8602.35,Reumatologia
PROC007,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,22434.79,Anestesiologia
PROC002,Negado,Não preenchimento dos critérios estabelecidos nas Diretrizes de Utilização (DUT).,10642.54,Nefrologia
PROC005,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,13580.92,Neurologia
PROC006,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",19142.81,Pneumologia
PROC009,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,33897.58,Gastroenterologia
PROC010,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",17350.63,Ortopedia e Traumatologia
PROC005,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,17427.22,Reumatologia
PROC018,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,1670.45,Cirurgia Geral
PROC018,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,20958.13,Oncologia
PROC012,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,2045.83,Oncologia
PROC018,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,11833.92,Ortopedia e Traumatologia
PROC015,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,5924.46,Nefrologia
PROC002,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",2200.86,Nefrologia
PROC018,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",23862.43,Endocrinologia
PROC018,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,31126.99,Urologia
PROC004,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,2305.81,Otorrinolaringologia
PROC012,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,30114.22,Pneumologia
PROC004,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",3246.59,Cirurgia Geral
PROC009,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",2104.28,Pneumologia
PROC007,Negado,Não preenchimento dos critérios estabelecidos nas Diretrizes de Utilização (DUT).,14268.91,Anestesiologia
PROC008,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,1700.68,Endocrinologia
PROC018,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,12305.31,Pneumologia
PROC005,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,34578.42,Anestesiologia
PROC018,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",12068.51,Infectologia
PROC001,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,21103.23,Endocrinologia
PROC001,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,26270.07,Gastroenterologia
PROC017,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",8344.82,Oncologia
PROC012,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,18229.75,Neurocirurgia
PROC020,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",5778.53,Cardiologia
PROC001,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,7959.79,Cardiologia
PROC004,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",1786.09,Otorrinolaringologia
PROC003,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,5465.28,Ortopedia e Traumatologia
PROC020,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",14074.57,Pediatria
PROC020,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,4552.23,Neurocirurgia
PROC004,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,8026.22,Cirurgia Cardiovascular
PROC008,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,14677.08,Urologia
PROC004,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,13851.37,Ortopedia e Traumatologia
PROC005,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,4351.18,Otorrinolaringologia
PROC004,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",1549.67,Cirurgia Geral
PROC018,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,15085.33,Cirurgia Cardiovascular
PROC014,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,5967.86,Cardiologia
PROC004,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,23397.69,Pediatria
PROC008,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",5083.12,Oncologia
PROC009,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,29766.24,Pediatria
PROC020,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,21784.03,Anestesiologia
PROC009,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,32347.97,Clínica Médica
PROC012,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,20341.65,Clínica Médica
PROC013,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,4301.41,Neurologia
PROC017,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,12722.28,Pneumologia
PROC012,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,10933.92,Nefrologia
PROC002,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,23980.14,Endocrinologia
PROC009,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,21719.17,Oftalmologia
PROC014,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,12866.84,Infectologia
PROC004,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,19010.37,Nefrologia
PROC010,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,1459.82,Cardiologia
PROC010,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",5565.32,Pneumologia
PROC004,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,7138.48,Clínica Médica
PROC013,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",10277.66,Cirurgia Cardiovascular
